filename,caption
029.jpg,"Siday is posing for a photo in front of a festive, wooden wall decorated with Christmas ornaments, including baubles, pinecones, string lights, and small figurines of a teddy bear and a reindeer"
103.jpg,"Siday, captured at night in a side profile, looking away from the camera with her hand behind her head and a background of blurry lights"
223.jpg,"Siday is taking a close-up selfie indoors, wearing a gray shirt and a large, green sun hat with a chin strap"
236.jpg,"Siday is posing on a balcony, leaning on a wooden railing, while wearing a floral top and denim shorts, with a resort building and the ocean visible in the background"
259.jpg,"Siday is smiling while taking a selfie outdoors in a lush, green garden or park"
346.jpg,Siday is smiling while holding up a glass of red wine in a dimly lit restaurant or bar
391.jpg,"Siday is posing for a photo outdoors, standing near a tree with vibrant pink blossoms"
433.jpg,Siday is taking a smiling selfie indoors while wearing a light pink shirt
504.jpg,"Siday is smiling while standing indoors next to a large window, with a beautiful sunset over the ocean and a beach visible in the background"
536.jpg,"Siday is posing indoors with her head slightly tilted, wearing a cream-colored knitted sweater against a plain background"
560.jpg,"Siday is sitting on a wooden bench in a park, holding a skewer of three-colored dango and smiling faintly at the camera"
568.jpg,"Siday is smiling while holding and eating cooked crab legs on a busy street, with a ""Tsukiji"" sign visible in the background"
639.jpg,"Siday is taking a selfie while relaxing in a hammock indoors, wearing a black top and a white, lacy cardigan"
720.jpg,Siday is smiling while taking a selfie outdoors under the branches of a tree with purple blossoms
